assignment_id,project_id,employee_id,role,allocation_percentage,start_date,end_date,is_active
59,10,203,Analyst,25,2023-09-29,2024-07-25,False
60,10,192,Lead,50,2023-10-08,2024-07-21,False
61,10,154,Lead,25,2023-09-28,2024-07-31,False
62,10,187,Tester,25,2023-10-05,2024-07-14,False
63,10,220,Developer,50,2023-09-30,2024-08-02,False
64,10,457,Analyst,25,2023-10-06,2024-07-29,False
65,11,342,Analyst,25,2023-03-16,2023-07-27,False
66,11,102,Manager,100,2023-02-27,2023-08-02,False
67,11,486,Tester,75,2023-03-11,2023-07-27,False
68,11,246,Lead,100,2023-03-10,2023-07-24,False
69,12,57,Tester,75,2023-03-01,2023-11-28,True
70,12,491,Tester,25,2023-03-17,2023-12-02,True
71,12,56,Analyst,100,2023-03-22,2023-11-06,True
72,12,406,Developer,100,2023-03-20,2023-11-09,True
73,13,149,Tester,50,2023-12-11,2024-01-29,False
74,13,145,Developer,75,2023-12-11,2024-02-09,False
75,13,249,Lead,50,2023-12-26,2024-02-10,False
76,13,43,Developer,50,2023-12-19,2024-01-26,False
77,13,390,Manager,50,2023-12-10,2024-01-21,False
78,13,220,Tester,100,2023-12-11,2024-02-14,False
79,14,141,Developer,50,2023-06-21,2024-01-16,True
80,14,99,Developer,100,2023-06-19,2024-01-02,True
81,14,476,Analyst,50,2023-06-30,2024-01-13,True
82,15,173,Developer,75,2023-09-17,2023-11-20,False
83,15,219,Analyst,75,2023-09-04,2023-11-25,False
84,15,246,Lead,50,2023-10-01,2023-11-22,False
85,15,32,Developer,50,2023-09-11,2023-11-05,False
86,16,1,Tester,75,2024-01-13,2024-06-28,False
87,16,27,Manager,25,2024-01-05,2024-06-30,False
88,16,339,Analyst,100,2024-01-03,2024-07-03,False
89,17,172,Manager,50,2023-11-26,2024-05-28,False
90,17,156,Analyst,75,2023-12-06,2024-06-07,False
91,17,58,Analyst,50,2023-12-03,2024-05-29,False
92,17,50,Developer,25,2023-12-14,2024-06-06,False
93,17,343,Manager,25,2023-11-30,2024-05-29,False
94,18,301,Tester,50,2023-09-09,2023-12-19,False
95,18,496,Developer,25,2023-09-03,2023-12-25,False
96,18,468,Manager,75,2023-09-11,2023-12-22,False
97,19,372,Developer,50,2023-03-22,2023-05-09,False
98,19,243,Manager,75,2023-03-05,2023-04-30,False
99,19,390,Manager,75,2023-03-27,2023-04-15,False
100,19,104,Lead,25,2023-03-27,2023-05-02,False
101,19,274,Developer,100,2023-03-28,2023-04-30,False
102,20,269,Analyst,50,2023-07-13,2023-09-22,False
103,20,477,Manager,25,2023-07-17,2023-10-10,False
104,20,488,Tester,100,2023-08-02,2023-09-19,False
105,20,258,Manager,25,2023-07-23,2023-09-20,False
106,20,405,Manager,100,2023-07-13,2023-09-27,False
107,20,12,Lead,100,2023-07-25,2023-09-17,False
108,21,140,Developer,100,2023-02-19,2023-12-08,True
109,21,106,Manager,75,2023-02-17,2023-12-08,True
110,21,95,Tester,75,2023-02-10,2023-12-03,True
111,21,2,Manager,25,2023-02-23,2023-12-22,True
112,21,82,Developer,50,2023-02-06,2023-12-23,True
113,21,293,Tester,75,2023-02-10,2023-12-29,True
114,21,112,Analyst,25,2023-03-02,2023-12-26,True
115,22,128,Analyst,75,2023-07-03,2023-12-27,False
116,22,422,Manager,75,2023-06-15,2023-12-16,False
117,22,108,Lead,75,2023-07-06,2024-01-11,False
118,22,274,Developer,75,2023-06-23,2024-01-14,False
119,22,60,Analyst,50,2023-06-20,2023-12-23,False
120,22,1,Manager,25,2023-06-21,2024-01-15,False
121,22,333,Lead,75,2023-07-06,2023-12-23,False
122,22,178,Manager,50,2023-07-10,2023-12-26,False
123,23,113,Lead,50,2023-05-19,2023-06-20,False
124,23,167,Lead,75,2023-05-08,2023-07-10,False
125,23,138,Lead,25,2023-04-28,2023-06-19,False
126,23,105,Lead,50,2023-05-09,2023-07-12,False
127,23,298,Tester,50,2023-05-20,2023-06-20,False
128,23,323,Tester,75,2023-05-12,2023-07-02,False
129,24,159,Lead,50,2023-03-21,2023-08-18,False
130,24,84,Developer,100,2023-03-18,2023-09-09,False
131,24,454,Lead,25,2023-03-23,2023-08-30,False
132,25,270,Developer,25,2023-11-16,2024-04-15,False
133,25,71,Developer,50,2023-11-30,2024-04-27,False
134,25,373,Developer,75,2023-11-11,2024-04-03,False
135,25,385,Manager,25,2023-11-08,2024-03-28,False
136,25,414,Developer,25,2023-11-29,2024-03-28,False
137,25,7,Analyst,25,2023-11-21,2024-04-04,False
138,25,309,Lead,100,2023-11-10,2024-04-23,False
139,25,52,Analyst,75,2023-11-30,2024-04-22,False
140,26,80,Developer,25,2023-10-05,2023-11-30,False
141,26,125,Developer,75,2023-10-11,2023-12-16,False
142,26,29,Lead,50,2023-09-18,2023-12-01,False
143,26,279,Tester,25,2023-09-15,2023-11-18,False
144,26,355,Lead,50,2023-09-22,2023-12-04,False
145,26,137,Analyst,50,2023-09-26,2023-11-27,False
146,27,197,Tester,25,2023-06-04,2024-01-04,False
147,27,352,Analyst,75,2023-06-29,2023-12-08,False
148,27,453,Analyst,25,2023-06-01,2023-12-19,False
149,27,367,Developer,25,2023-06-10,2023-12-09,False
150,27,422,Tester,100,2023-06-18,2024-01-03,False
151,27,462,Manager,50,2023-06-15,2023-12-28,False
152,27,58,Tester,75,2023-06-20,2023-12-25,False
153,27,252,Analyst,75,2023-06-18,2023-12-12,False
154,28,139,Analyst,25,2023-05-17,2023-06-10,False
155,28,470,Tester,50,2023-05-21,2023-06-21,False
156,28,256,Lead,100,2023-05-06,2023-06-17,False
157,29,408,Analyst,50,2023-12-17,2024-02-23,False
158,29,403,Tester,50,2023-12-06,2024-03-14,False
159,29,500,Analyst,75,2023-12-28,2024-03-12,False
160,29,245,Lead,100,2023-12-19,2024-03-11,False
161,29,418,Analyst,50,2023-12-23,2024-02-28,False
162,29,35,Tester,100,2023-12-29,2024-02-23,False
163,29,58,Lead,100,2023-12-17,2024-03-07,False
164,29,296,Tester,100,2023-12-21,2024-03-07,False
165,30,298,Tester,25,2023-12-30,2024-08-24,False
166,30,367,Developer,50,2023-12-21,2024-08-31,False
167,30,216,Analyst,100,2024-01-10,2024-09-11,False
168,31,472,Tester,75,2023-06-05,2023-11-04,False
169,31,57,Manager,100,2023-06-08,2023-11-11,False
170,31,31,Tester,25,2023-06-01,2023-11-09,False
171,31,467,Developer,50,2023-06-17,2023-11-11,False
172,32,376,Developer,25,2023-06-16,2024-04-15,False
173,32,14,Manager,50,2023-06-30,2024-04-11,False
174,32,357,Analyst,50,2023-06-15,2024-05-03,False
175,32,495,Developer,25,2023-06-17,2024-04-30,False
176,32,218,Lead,50,2023-07-03,2024-04-11,False
177,32,191,Lead,50,2023-07-09,2024-05-02,False
178,33,271,Developer,75,2023-03-26,2023-10-29,False
179,33,358,Developer,25,2023-03-15,2023-11-19,False
180,33,486,Tester,50,2023-03-31,2023-10-30,False
181,33,154,Lead,100,2023-03-12,2023-11-11,False
182,33,241,Analyst,75,2023-03-29,2023-11-01,False
183,33,211,Lead,50,2023-04-03,2023-11-16,False
184,33,370,Manager,100,2023-03-20,2023-11-21,False
185,33,173,Tester,100,2023-04-11,2023-11-19,False
186,34,29,Developer,100,2023-04-28,2024-03-20,False
187,34,113,Lead,100,2023-04-26,2024-03-29,False
188,34,201,Analyst,100,2023-04-16,2024-04-07,False
189,34,95,Developer,25,2023-04-17,2024-03-31,False
190,34,422,Manager,75,2023-04-13,2024-03-28,False
191,34,382,Analyst,50,2023-04-11,2024-04-01,False
192,34,500,Developer,50,2023-04-28,2024-04-05,False
193,35,6,Developer,50,2024-01-03,2024-02-28,False
194,35,388,Manager,25,2023-12-22,2024-03-26,False
195,35,466,Lead,25,2024-01-01,2024-03-03,False
196,35,159,Developer,75,2023-12-15,2024-03-18,False
197,35,97,Analyst,100,2023-12-14,2024-03-17,False
198,35,283,Analyst,100,2023-12-30,2024-03-22,False
199,35,104,Tester,25,2024-01-06,2024-03-17,False
200,36,209,Tester,25,2023-02-14,2023-03-24,False
201,36,460,Lead,100,2023-02-16,2023-03-24,False
202,36,380,Developer,75,2023-02-16,2023-03-22,False
203,36,258,Lead,25,2023-02-03,2023-04-14,False
204,36,52,Developer,50,2023-02-26,2023-03-29,False
205,37,414,Tester,75,2023-10-15,2024-08-26,False
206,37,349,Tester,75,2023-10-05,2024-08-23,False
207,37,335,Manager,100,2023-09-30,2024-09-06,False
208,37,73,Lead,50,2023-09-22,2024-08-20,False
209,38,313,Lead,25,2023-07-30,2023-12-10,False
210,38,311,Tester,75,2023-08-20,2023-12-28,False
211,38,39,Developer,100,2023-08-12,2023-12-01,False
212,38,491,Analyst,50,2023-07-29,2023-12-14,False
213,39,83,Developer,50,2023-06-15,2024-05-02,False
214,39,35,Lead,75,2023-06-26,2024-04-10,False
215,39,144,Lead,50,2023-06-19,2024-04-26,False
216,39,296,Manager,100,2023-07-04,2024-05-01,False
217,39,187,Analyst,100,2023-06-05,2024-04-23,False
218,40,439,Manager,75,2023-09-06,2024-08-06,False
219,40,318,Lead,100,2023-09-06,2024-08-20,False
220,40,470,Developer,25,2023-09-03,2024-07-25,False
221,40,349,Tester,25,2023-09-18,2024-07-28,False
222,40,67,Developer,75,2023-08-30,2024-07-26,False
223,40,226,Manager,100,2023-09-07,2024-08-17,False
224,41,115,Developer,75,2023-01-20,2023-03-17,False
225,41,199,Manager,100,2023-01-20,2023-03-24,False
226,41,448,Tester,25,2023-01-09,2023-04-05,False
227,42,394,Manager,100,2023-12-19,2024-09-14,False
228,42,222,Lead,25,2023-12-15,2024-09-02,False
229,42,103,Developer,50,2023-12-17,2024-09-10,False
230,42,206,Tester,50,2024-01-08,2024-09-09,False
231,42,169,Developer,100,2023-12-19,2024-09-06,False
232,42,34,Analyst,100,2023-12-10,2024-08-26,False
233,43,110,Lead,75,2023-09-27,2024-01-30,False
234,43,28,Tester,25,2023-09-11,2024-01-31,False
235,43,109,Analyst,100,2023-09-07,2024-02-18,False
236,43,445,Lead,100,2023-09-05,2024-02-11,False
237,43,12,Analyst,50,2023-09-19,2024-02-14,False
238,43,488,Developer,100,2023-09-29,2024-02-19,False
239,44,494,Lead,100,2023-12-08,2024-07-06,False
240,44,386,Tester,100,2023-12-12,2024-07-19,False
241,44,153,Manager,100,2023-12-08,2024-07-07,False
242,44,85,Manager,50,2023-12-23,2024-08-05,False
243,44,102,Manager,50,2023-11-29,2024-07-13,False
244,45,341,Analyst,25,2023-02-28,2023-11-11,False
245,45,422,Lead,50,2023-02-06,2023-11-06,False
246,45,481,Analyst,25,2023-02-17,2023-11-07,False
247,45,376,Lead,75,2023-02-27,2023-11-13,False
248,45,381,Developer,100,2023-02-18,2023-11-11,False
249,46,325,Developer,50,2023-10-30,2024-08-08,False
250,46,231,Lead,50,2023-11-04,2024-08-05,False
251,46,328,Tester,75,2023-10-31,2024-07-30,False
252,46,497,Tester,25,2023-10-18,2024-07-12,False
253,47,417,Developer,100,2023-11-05,2024-08-11,True
254,47,187,Lead,100,2023-11-16,2024-08-13,True
255,47,9,Manager,100,2023-11-07,2024-08-16,True
256,47,155,Analyst,25,2023-11-12,2024-08-03,True
257,47,460,Lead,100,2023-11-25,2024-08-22,True
258,48,91,Analyst,100,2023-11-16,2024-02-21,False
259,48,284,Manager,25,2023-11-23,2024-02-24,False
260,48,305,Developer,25,2023-11-05,2024-02-08,False
261,48,84,Manager,100,2023-11-23,2024-03-04,False
262,48,278,Manager,25,2023-11-06,2024-02-18,False
263,49,228,Tester,100,2023-02-03,2023-04-20,True
264,49,258,Developer,50,2023-02-07,2023-04-14,True
265,49,298,Developer,75,2023-02-17,2023-04-11,True
266,49,413,Lead,100,2023-02-20,2023-04-01,True
267,49,17,Lead,25,2023-02-19,2023-03-31,True
268,49,342,Tester,75,2023-02-20,2023-04-15,True
269,49,149,Analyst,75,2023-01-29,2023-03-29,True
270,49,437,Lead,50,2023-02-16,2023-03-29,True
271,50,461,Developer,50,2023-10-16,2024-03-24,False
272,50,466,Manager,75,2023-11-09,2024-03-13,False
273,50,213,Manager,100,2023-10-25,2024-03-19,False
